City_ID,City,Max Temp,Lat,Lng,Hotel Name
1,Isangel,77.95,-19.55,169.2667,
2,Hilo,81.28,19.7297,-155.09,
3,Lorengau,85.91,-2.0226,147.2712,
6,Dingle,90.54,10.9995,122.6711,
9,Itarema,77.09,-2.9248,-39.9167,
10,Namatanai,84.78,-3.6667,152.4333,
22,Vaini,77.16,-21.2,-175.2,
25,Avarua,82.45,-21.2078,-159.775,
27,Cayenne,81.09,4.9333,-52.3333,
28,Veraval,86.22,20.9,70.3667,
30,Rikitea,76.21,-23.1203,-134.9692,
31,Pemangkat,84.45,1.1667,108.9667,
34,Balarampur,88.21,23.1167,86.2167,
35,Umm Lajj,82.6,25.0213,37.2685,
41,Wanning,83.79,18.8003,110.3967,
44,Bambous Virieux,76.21,-20.3428,57.7575,
50,Aksu,81.25,41.1231,80.2644,
51,Korla,76.53,41.7597,86.1469,
55,Kapaa,78.78,22.0752,-159.319,
58,Carnarvon,78.87,-24.8667,113.6333,
68,Soe,80.8,-9.8607,124.284,
70,Bubaque,76.39,11.2833,-15.8333,
72,Piedras,75.78,4.5383,-74.8818,
74,Abu Zabad,78.85,12.35,29.25,
78,Neiafu,81.28,-18.65,-173.9833,
92,Butaritari,82.0,3.0707,172.7902,
95,Ban Phaeo,87.03,13.5907,100.1075,
96,Lahij,79.14,13.1667,44.5833,
97,Sinnamary,77.83,5.3833,-52.95,
98,Weatherford,84.09,32.7593,-97.7972,
99,Palmerston,93.04,-12.486,130.9833,
100,Syriam,86.11,16.7722,96.2378,
102,Marawi,78.84,7.9986,124.2928,
103,Godda,92.95,24.8333,87.2167,
104,Kulhudhuffushi,85.1,6.6221,73.07,
105,Souillac,75.58,-20.5167,57.5167,
108,Ormara,82.33,25.2088,64.6357,
109,Padang,89.65,-0.9492,100.3543,
111,Sampit,75.97,-2.5333,112.95,
112,Saint-Philippe,76.59,-21.3585,55.7679,
116,Panaba,80.55,21.2833,-88.2667,
121,Mahebourg,77.25,-20.4081,57.7,
122,Shenzhen,82.35,22.5455,114.0683,
123,Iralaya,81.05,15.0,-83.2333,
134,Quatre Cocos,77.09,-20.2078,57.7625,
136,Cocorit,76.91,27.5833,-109.9667,
