City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,-46.1927,168.8643,56.48,97,96,4.36
1,Isangel,-19.55,169.2667,77.95,67,61,14.23
2,Hilo,19.7297,-155.09,81.28,82,100,10.36
3,Lorengau,-2.0226,147.2712,85.91,67,100,15.26
4,Menongue,-14.6585,17.691,58.32,71,47,2.48
5,Derzhavinsk,51.1,66.3167,55.81,28,81,23.42
6,Dingle,10.9995,122.6711,90.54,48,49,12.84
7,Alta Floresta,-9.8756,-56.0861,74.53,80,61,3.33
8,Portomaggiore,44.6985,11.8068,58.01,91,53,6.26
9,Itarema,-2.9248,-39.9167,77.09,87,100,6.35
10,Namatanai,-3.6667,152.4333,84.78,70,91,13.11
11,Fort Frances,48.5999,-93.4003,49.15,70,100,4.61
12,Ostrovnoy,68.0531,39.5131,30.56,81,80,15.35
13,Ushuaia,-54.8,-68.3,42.46,75,100,27.63
14,Kruisfontein,-34.0033,24.7314,53.58,70,78,6.06
15,Bluff,-46.6,168.3333,56.8,76,95,12.88
16,Belmonte,-15.8631,-38.8828,72.84,90,88,9.86
17,Qaanaaq,77.484,-69.3632,18.75,68,99,7.63
18,Saskylakh,71.9167,114.0833,14.36,88,77,14.16
19,Hermanus,-34.4187,19.2345,57.31,75,94,4.88
20,Dikson,73.5069,80.5464,32.7,98,100,18.37
21,Tazovskiy,67.4667,78.7,33.98,100,100,12.35
22,Vaini,-21.2,-175.2,77.16,69,20,14.97
23,Punta Arenas,-53.15,-70.9167,44.71,81,75,28.77
24,Otjimbingwe,-22.35,16.1333,61.29,26,0,7.92
25,Avarua,-21.2078,-159.775,82.45,83,75,6.91
26,Albany,42.6001,-73.9662,46.81,58,69,3.47
27,Cayenne,4.9333,-52.3333,81.09,1,54,1.01
28,Veraval,20.9,70.3667,86.22,63,4,16.04
29,Cherskiy,68.75,161.3,32.86,94,57,16.64
30,Rikitea,-23.1203,-134.9692,76.21,75,28,16.24
31,Pemangkat,1.1667,108.9667,84.45,68,100,6.51
32,Shubarshi,48.5872,57.1869,55.26,47,100,14.5
33,Busselton,-33.65,115.3333,67.68,58,0,6.62
34,Balarampur,23.1167,86.2167,88.21,41,1,6.96
35,Umm Lajj,25.0213,37.2685,82.6,35,64,10.71
36,New Norfolk,-42.7826,147.0587,58.91,47,44,1.83
37,Santa Lucia,27.9117,-15.5407,58.32,77,20,17.27
38,Dandong,40.1292,124.3947,73.44,20,1,1.99
39,Pitimbu,-7.4706,-34.8086,73.99,83,90,11.45
40,Barrow,71.2906,-156.7887,33.82,80,100,12.66
41,Wanning,18.8003,110.3967,83.79,71,87,6.33
42,Luderitz,-26.6481,15.1594,58.78,42,30,5.41
43,Hobart,-42.8794,147.3294,59.25,58,20,8.05
44,Bambous Virieux,-20.3428,57.7575,76.21,88,20,3.44
45,Bethel,41.3712,-73.414,49.01,48,0,6.91
46,Rawson,-43.3002,-65.1023,55.36,44,0,7.56
47,Srednekolymsk,67.45,153.6833,38.08,89,63,14.85
48,Monterey,36.2505,-121.2516,45.18,72,4,8.9
49,Coruripe,-10.1256,-36.1756,74.75,79,6,6.76
50,Aksu,41.1231,80.2644,81.25,22,0,4.79
51,Korla,41.7597,86.1469,76.53,30,0,8.08
52,Codrington,-38.2667,141.9667,61.72,47,16,0.6
53,Ngunguru,-35.6167,174.5,65.98,73,100,10.51
54,Hasaki,35.7333,140.8333,59.4,74,100,12.66
55,Kapaa,22.0752,-159.319,78.78,85,100,14.97
56,Nikolskoye,59.7035,30.7861,42.71,74,3,5.61
57,La Ronge,55.1001,-105.2842,39.45,65,40,2.3
58,Carnarvon,-24.8667,113.6333,78.87,57,38,8.05
59,Pilar,-9.5972,-35.9567,71.53,93,24,2.64
60,Danville,36.586,-79.395,48.85,88,100,3.44
61,Kahone,14.15,-16.0333,74.82,54,58,4.92
