City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cuajinicuilapa,MX,2022-05-08 22:47:49,16.4667,-98.4167,89.62,44,76,9.55
1,Dingle,PH,2022-05-08 22:47:49,10.9995,122.6711,81.37,79,95,10.22
2,Saint-Joseph,RE,2022-05-08 22:47:50,-21.3667,55.6167,70.18,81,16,8.1
3,Punta Arenas,CL,2022-05-08 22:44:46,-53.15,-70.9167,42.91,75,40,23.02
4,Cockburn Town,TC,2022-05-08 22:47:51,21.4612,-71.1419,82.36,74,40,5.75
5,Stromness,GB,2022-05-08 22:47:51,58.965,-3.296,49.96,87,100,11.01
6,Rikitea,PF,2022-05-08 22:47:52,-23.1203,-134.9692,76.42,77,71,18.86
7,Tawau,MY,2022-05-08 22:47:52,4.2498,117.8871,78.93,94,100,6.02
8,Saint-Philippe,RE,2022-05-08 22:47:53,-21.3585,55.7679,71.19,85,34,7.99
9,Thompson,CA,2022-05-08 22:47:54,55.7435,-97.8558,60.96,36,20,17.27
10,Castro,BR,2022-05-08 22:47:54,-24.7911,-50.0119,53.1,93,2,6.06
11,Mayo,US,2022-05-08 22:44:20,38.8876,-76.5119,57.61,52,100,6.91
12,Anage,BR,2022-05-08 22:47:55,-14.6122,-41.1356,69.89,76,100,2.3
13,Camacupa,AO,2022-05-08 22:47:55,-12.0167,17.4833,64.11,68,75,3.53
14,Westport,US,2022-05-08 22:47:56,41.1415,-73.3579,57.31,35,40,16.11
15,Mataura,NZ,2022-05-08 22:47:57,-46.1927,168.8643,53.47,91,99,1.48
16,Cabedelo,BR,2022-05-08 22:47:57,-6.9811,-34.8339,77.67,79,99,13.24
17,Peno,RU,2022-05-08 22:47:58,56.9262,32.7426,34.14,75,23,7.23
18,Bluff,NZ,2022-05-08 22:47:58,-46.6,168.3333,53.8,89,100,4.03
19,Altamont,US,2022-05-08 22:47:59,42.2068,-121.7372,40.77,63,75,13.8
20,Kaniama,CD,2022-05-08 22:47:59,-7.5667,24.1833,68.5,76,100,4.25
21,Krosno Odrzanskie,PL,2022-05-08 22:48:00,52.0549,15.0988,52.77,69,8,5.12
